appTitle,userName,date,score,text,datetime,category,id,contentRating,processed_text,len,class1_ty,class2_ycx,class3_jc,final
Bowmasters,Ranga Madhuri Bandhakavi,13-Apr-19,5,good luck with the latest version of the most important thing is that you have any comments or suggestions regarding our website at the moment and will be able to get your email address and password to anyone who wants to see you there,2019/4/14,GAME_ACTION,876400,Teen,good luck with the latest version of the most important thing is that you have any comments or suggestions regarding our website at the moment and will be able to get your email address and password to anyone who wants to see you there,235,3,2,3,3
,Larry Wayne Sharpe,15-Apr-19,4,awesome besides the fact you can't transfer your earnings to PayPal,2019/5/1,HEALTH_AND_FITNESS,2646481,,awesome besides the fact you cant transfer your earnings to PayPal,66,2,2,2,2
Amazon Music,Brian Fitzgerald,24-Mar-19,5,Awesome variety for everyone to choose from,2019/4/1,MUSIC_AND_AUDIO,1165039,Teen,Awesome variety for everyone to choose from,43,4,3,4,4
FaceApp,Rosy Rani Singh,22-Feb-19,4,Please remove this pro thing. Do I really need to pay to see my photos with special effects?,2019/4/1,LIFESTYLE,2165776,Everyone,Please remove this pro thing Do I really need to pay to see my photos with special effects,90,2,2,2,2
Family Locator - GPS Tracker,Steven Mauldin,14-Apr-19,5,"I Love that I can still feel as I a Protecting my Daughters who moved from Georgia to Mississippi ..... I just told one of my Daughters that is at a Soccer Tournament to be SAFE even though I am in Cartersville,Georgia and she is in Mobile, AL. (and also to CHARGE Her PHONE...LoL)",2019/4/14,LIFESTYLE,2240218,Everyone,I Love that I can still feel as I a Protecting my Daughters who moved from Georgia to Mississippi  I just told one of my Daughters that is at a Soccer Tournament to be SAFE even though I am in CartersvilleGeorgia and she is in Mobile AL and also to CHARGE Her PHONELoL,268,4,3,3,3
Family Locator - GPS Tracker,,4-Mar-19,5,"Puts a mothers mind at ease , love to know where my daughter is and how she is driving, not that i dont trust her because i do i just worry about her and rhis app lets me she where she is",2019/3/13,LIFESTYLE,2078150,Everyone,Puts a mothers mind at ease  love to know where my daughter is and how she is driving not that i dont trust her because i do i just worry about her and rhis app lets me she where she is,185,3,3,4,3
,sharekabasw H,26-Mar-19,5,love it. very user friendly,2019/5/1,FINANCE,633468,,love it very user friendly,26,4,4,4,4
,Glenda Hogan,28-Feb-19,5,great community connection board,2019/5/1,EDUCATION,275020,,great community connection board,32,4,4,4,4
,LD S,6-Apr-19,2,Wont record steps. Everything turned on. Walked 15K steps on another app so far. 0 on sweat coins.,2019/5/1,HEALTH_AND_FITNESS,2664737,,Wont record steps Everything turned on Walked 15K steps on another app so far 0 on sweat coins,94,1,1,1,1
Quizlet: Learn Languages & Vocab with Flashcards,Trisha Whisnant,24-Feb-19,5,This is a great study too to help you remember medical terminology.,2019/3/8,EDUCATION,41061,Everyone,This is a great study too to help you remember medical terminology,66,4,4,4,4
Tomb of the Mask,,19-Feb-19,5,it's fun and i love it _歹_,2019/3/8,GAME_ACTION,730216,Everyone,its fun and i love it ,22,4,4,4,4
ClassDojo,Femabeth Resuento,8-Oct-18,5,This is a great app for parents and teachers great idea!!,2019/3/8,EDUCATION,16571,Everyone,This is a great app for parents and teachers great idea,55,4,4,4,4
Ball Mayhem!,Hunter Miller,13-Feb-19,1,"This game is a complete and total failure! It is unplayable. When I play this game I want to drive my fist through a wall because it is so terrible. I urge anyone considering this game, stay away! It is not fun.",2019/3/8,GAME_ACTION,690522,Everyone,This game is a complete and total failure It is unplayable When I play this game I want to drive my fist through a wall because it is so terrible I urge anyone considering this game stay away It is not fun,205,4,1,4,4
Spotify - Music and Podcasts,Frankie Salcido,19-Apr-19,5,I love Spotify the music's great,2019/4/21,MUSIC_AND_AUDIO,1303336,Teen,I love Spotify the musics great,31,4,4,4,4
Netflix,Mokesdul Alam,18-Apr-19,5,"I like netflix. my faverite movie is gnome alone, and my faverite show is dino trux.",2019/4/21,ENTERTAINMENT,1648695,Teen,I like netflix my faverite movie is gnome alone and my faverite show is dino trux,81,4,4,4,4
Toca Kitchen 2,,17-Feb-19,5,Omg I just love this game soo funny and weird sort of but I just like it soo much,2019/3/13,FAMILY,1770899,Everyone,Omg I just love this game soo funny and weird sort of but I just like it soo much,81,4,4,4,4
Remind: School Communication,traiel spencer,10-Apr-19,4,great app that's good for communication. not as simple or quick as class dojo but still a great app for school to use. AND much quicker than traditional email,2019/4/14,EDUCATION,173632,Everyone,great app thats good for communication not as simple or quick as class dojo but still a great app for school to use AND much quicker than traditional email,155,4,3,4,4
Duolingo: Learn Languages Free,Alexander Pozharsky,12-Apr-19,3,Extremely buggy on Android 9. Stops responding just as started up,2019/4/14,EDUCATION,169100,Everyone,Extremely buggy on Android 9 Stops responding just as started up,64,1,1,1,1
Roblox,Ashton Hedges,31-Mar-19,5,its so fun,2019/4/1,FAMILY,1832538,Everyone 10+,its so fun,10,4,4,4,4
Minion Rush: Despicable Me Official Game,Barbara Stevens,20-Apr-19,4,"My exeperince is awesome,besides it taking a while to load.",2019/4/21,FAMILY,1951514,Everyone 10+,My exeperince is awesomebesides it taking a while to load,57,1,1,2,1
Fantastic Face _ Face Analysis & Aging Prediction,,9-Feb-19,5,it was amazing!,2019/3/13,LIFESTYLE,2097338,,it was amazing,14,4,4,4,4
Helix Jump,James Martin,17-Mar-19,5,it is perfect__,2019/3/24,GAME_ACTION,745851,Everyone,it is perfect,13,4,4,4,4
,tyreion the best fortnite player in the world,11-Apr-19,1,momo is on there take it off there trying to hurt your kids,2019/5/1,FAMILY,2005302,,momo is on there take it off there trying to hurt your kids,59,3,4,3,3
Pixel Art: Color by Number,dean klimt,10-Apr-19,5,It is fun but what I love it has no ads _手__手__手_,2019/4/14,ENTERTAINMENT,1573454,Everyone,It is fun but what I love it has no ads ,40,4,2,4,4
Netflix,Lance Henning,18-Apr-19,5,love my Netflix while on the road or in the air!,2019/4/21,ENTERTAINMENT,1620362,Teen,love my Netflix while on the road or in the air,47,4,4,4,4
Bitmoji _ Your Personal Emoji,Tonya E. B.,8-Mar-19,5,The BEST EVERRR!!!,2019/3/13,ENTERTAINMENT,1441559,,The BEST EVERR,14,4,4,4,4
Netflix,Mia Salgado,23-Mar-19,5,i love this app my hole family has it on there phone and i have it on my tablet and theres even Netflix on the TV,2019/3/24,ENTERTAINMENT,1469858,Teen,i love this app my hole family has it on there phone and i have it on my tablet and theres even Netflix on the TV,113,4,3,4,4
,Karen Avi,23-Apr-19,5,all i can say is thanks for this beautiful addiction __ love the game ....alittle way too much at that_五_五_五,2019/5/1,GAME_ACTION,954028,,all i can say is thanks for this beautiful addiction  love the game alittle way too much at that,96,3,4,3,3
Lose Belly Fat in 30 Days - Flat Stomach,A Google User,10-Mar-19,5,I love it,2019/4/1,HEALTH_AND_FITNESS,2451195,Everyone,I love it,9,4,4,4,4
Kick the Buddy,sandeep doi,17-Apr-19,1,to much adds,2019/4/21,GAME_ACTION,945296,Teen,to much adds,12,3,1,3,3
,one2maintain,12-Jan-19,1,"I get video playback error on all formats. computer, note 9, note 8, android TV. what format does this app works with.",2019/5/1,ENTERTAINMENT,1670331,,I get video playback error on all formats computer note 9 note 8 android TV what format does this app works with,112,1,1,1,1
Headspace: Meditation & Sleep,Jason Ferro,14-Nov-18,3,Love everything about the app. Except that I need to pay for 95% of the content. You can make it through 2 weeks before you really need to think about buying it. I even purchased a month and now it still won't unlock the content.,2019/3/16,HEALTH_AND_FITNESS,2368526,Everyone,Love everything about the app Except that I need to pay for 95 of the content You can make it through 2 weeks before you really need to think about buying it I even purchased a month and now it still wont unlock the content,223,4,1,4,4
Fitbit,Sheetal Sable,5-May-19,1,Notification broken on one plus 6T,2019/5/9,HEALTH_AND_FITNESS,2674106,Everyone,Notification broken on one plus 6T,34,1,1,1,1
,PotatoIse,15-Apr-19,5,"a trillion times better than Spotify, love you.",2019/5/1,MUSIC_AND_AUDIO,1326305,,a trillion times better than Spotify love you,45,4,4,4,4
Amazon Alexa,Laura Roberts,28-Feb-19,1,Not possible to delete recurring reminders. I've reported and asked for help multiple times to no avail. It seems I'm doomed to hear this reminder for the rest of my life. Wonder if Google Home is better.,2019/3/9,MUSIC_AND_AUDIO,1078573,Everyone,Not possible to delete recurring reminders Ive reported and asked for help multiple times to no avail It seems Im doomed to hear this reminder for the rest of my life Wonder if Google Home is better,198,1,1,1,1
Remind: School Communication,Chansreyroatha Chamroeun,14-Feb-19,5,Easy to use. Easy to communicate. I love the app so much. We get reminders and updates.,2019/3/8,EDUCATION,40267,Everyone,Easy to use Easy to communicate I love the app so much We get reminders and updates,83,4,4,4,4
Minion Rush: Despicable Me Official Game,,2-Feb-19,4,nice but not as nice as in 2018,2019/3/13,FAMILY,1767176,Everyone 10+,nice but not as nice as in 2018,31,4,4,3,4
Chase Mobile,steven wellemeyer,4-Mar-19,4,excellent...easy and fast..,2019/3/8,FINANCE,363703,Everyone,excellenteasy and fast,22,4,4,4,4
Helix Jump,Smrati Gupta,9-Apr-19,5,it is a awesome game i think it is the best game,2019/4/14,GAME_ACTION,888762,Everyone,it is a awesome game i think it is the best game,48,4,4,4,4
,Jim Milne,27-Apr-19,5,this is awesome like omg when your a noob you sound like a pro and if you touch the green it says fight me now now now,2019/5/1,MUSIC_AND_AUDIO,1342504,,this is awesome like omg when your a noob you sound like a pro and if you touch the green it says fight me now now now,118,4,3,4,4
STARZ,Abraham Diaz,11-Oct-18,5,"I'm on this app , more then any other. There's always something to watch",2019/3/13,ENTERTAINMENT,1431081,Mature 17+,Im on this app  more then any other Theres always something to watch,68,3,4,3,3
,A Google User,19-Feb-19,1,game is unfair can't win,2019/5/1,GAME_ACTION,988822,,game is unfair cant win,23,3,1,3,3
Apple Music,Muknatee R.,20-Dec-18,1,i loved it when i use with my apple device. but too many bugs for samsung device. im disappointed:(,2019/3/9,MUSIC_AND_AUDIO,1069321,Teen,i loved it when i use with my apple device but too many bugs for samsung device im disappointed,95,1,1,1,1
ABCmouse.com,A Google User,12-Jan-18,5,I think this is great,2019/4/1,EDUCATION,111108,Everyone,I think this is great,21,4,4,4,4
"Calm - Meditate, Sleep, Relax",Sarah Manovski,8-Feb-19,4,"I love this app but even after I close it, the audio still plays and the background picture on the app stays as my screen saver. please resolve this it stops me from listening to other music on my phone after I finish the app.",2019/3/16,HEALTH_AND_FITNESS,2373656,Everyone,I love this app but even after I close it the audio still plays and the background picture on the app stays as my screen saver please resolve this it stops me from listening to other music on my phone after I finish the app,223,1,1,1,1
Kahoot!,,23-Oct-18,5,I love that cool who because it's really fun with the kids for us and you can play games and do some fun stuff birthday you can learn about everything when you get in high school they going to ask you about Harrington Tubman you can tell them because you run a phone call who was the best thing that any kid had before not to judge on ABC app that stuff don't work so it's the best thing that you need to get you can play with your friends or family is stuff we really love our stuff is the best thing that anybody had because 4th graders and 5th graders can play it when you get in high school they're going to ask about Harry can tell me you can said hey can you tell me what's the first people that rested sleep she was asleep then she went left then she came back for her family so people that saved not slaves they save the people that going on somewhere so they don't have to be slaves no more they can be free they hide them under need for cat a cabinet or basement or anything and they made for the quiet though the person that make her who they go to good job or not so I hope one day the kids lose us kids it's the best day so you better get on kahoot and learn about you it you can do it with your friend your parents your teacher anybody that lives with you or are you or are you at school you can do kahoot at school with your teachers and classmates and stuff you know what your best friend but you got to make sure your teacher sign you up if you want to play kahoot on you need your username or your parents phone number email and stuff and you put it in the kahoot and you can play with your friends got her sisters anybody that live with you or at school so I hope people can play kahoot. The person that made it the person that really made it kids will learn better better But once they get to it kids you better than the person spend time that make hoop up and I know there's a boy and a girl that make they get good kahoot is best me and my brothers and my little sister play kahoot at home together when we playing School so I hope people can get on code something thanks for making kahoot the person that made it,2019/3/8,EDUCATION,39683,Everyone,I love that cool who because its really fun with the kids for us and you can play games and do some fun stuff birthday you can learn about everything when you get in high school they going to ask you about Harrington Tubman you can tell them because you run a phone call who was the best thing that any kid had before not to judge on ABC app that stuff dont work so its the best thing that you need to get you can play with your friends or family is stuff we really love our stuff is the best thing that anybody had because 4th graders and 5th graders can play it when you get in high school theyre going to ask about Harry can tell me you can said hey can you tell me whats the first people that rested sleep she was asleep then she went left then she came back for her family so people that saved not slaves they save the people that going on somewhere so they dont have to be slaves no more they can be free they hide them under need for cat a cabinet or basement or anything and they made for the quiet though the person that make her who they go to good job or not so I hope one day the kids lose us kids its the best day so you better get on kahoot and learn about you it you can do it with your friend your parents your teacher anybody that lives with you or are you or are you at school you can do kahoot at school with your teachers and classmates and stuff you know what your best friend but you got to make sure your teacher sign you up if you want to play kahoot on you need your username or your parents phone number email and stuff and you put it in the kahoot and you can play with your friends got her sisters anybody that live with you or at school so I hope people can play kahoot The person that made it the person that really made it kids will learn better better But once they get to it kids you better than the person spend time that make hoop up and I know theres a boy and a girl that make they get good kahoot is best me and my brothers and my little sister play kahoot at home together when we playing School so I hope people can get on code something thanks for making kahoot the person that made it,2126,3,3,3,3
IRS2Go,A Google User,20-Mar-15,5,Perfect! Accurately pinpointed my return perfectly,2019/3/8,FINANCE,346647,Everyone,Perfect Accurately pinpointed my return perfectly,49,4,4,3,4
Quizlet: Learn Languages & Vocab with Flashcards,,25-Jan-19,5,Helps you with everything that you need for ALL your classes. For grades (9-12) High School ONLY!!!!_算_,2019/3/8,EDUCATION,26972,Everyone,Helps you with everything that you need for ALL your classes For grades 912 High School ONLY,92,3,3,3,3
Roblox,Wolfie Pup,31-Mar-19,5,This game is so much fun,2019/4/1,FAMILY,1844740,Everyone 10+,This game is so much fun,24,4,4,4,4
Roblox,jelly belly,8-May-19,5,i love it,2019/5/9,FAMILY,2065795,Everyone 10+,i love it,9,4,4,4,4
Helix Jump,Srinivasa Rao,19-Apr-19,5,it is a nice game ____,2019/4/21,GAME_ACTION,937215,Everyone,it is a nice game ,18,4,4,4,4
,kunal kotian,27-Apr-19,1,m not getting any matches and my account is getting loged out automatically. Poor reach of my profile.,2019/5/1,LIFESTYLE,2311659,,m not getting any matches and my account is getting loged out automatically Poor reach of my profile,100,1,1,1,1
,KBAT22,22-Mar-19,5,it's amazing like I get to see behind the scenes and make my own character. Highly recommended,2019/5/1,FAMILY,2004158,,its amazing like I get to see behind the scenes and make my own character Highly recommended,92,4,3,4,4
YouTube Music - Stream Songs & Music Videos,Olivia Powell,20-Mar-19,5,i like that now i can listen while on a call,2019/3/24,MUSIC_AND_AUDIO,1105044,Teen,i like that now i can listen while on a call,44,4,3,4,4
,Lady-kungfu Moreno,24-Apr-19,5,it a good way to remember,2019/5/1,HEALTH_AND_FITNESS,2655513,,it a good way to remember,25,4,4,4,4
PayPal Mobile Cash: Send and Request Money Fast,,12-Mar-19,5,Great App the easiest way to transfer money,2019/3/24,FINANCE,379448,Everyone,Great App the easiest way to transfer money,43,4,4,4,4
Spotify - Music and Podcasts,geoff Tate,7-Mar-19,5,Best music app by far!,2019/3/9,MUSIC_AND_AUDIO,1046135,Teen,Best music app by far,21,4,4,4,4
Kick the Buddy,Larry Lock,3-Mar-19,5,I realy like it it is so fun,2019/3/8,GAME_ACTION,724337,Teen,I realy like it it is so fun,28,4,4,4,4
Bitmoji _ your personal emoji,Apsara Khadka,5-May-19,4,this emojis are awesome,2019/5/9,ENTERTAINMENT,1728180,,this emojis are awesome,23,4,4,4,4
,Walter Rives,15-Apr-19,5,I love kids youtube,2019/5/1,FAMILY,1993624,,I love kids youtube,19,4,4,4,4
Pixel Art: Color by Number,A Google User,31-Mar-19,5,It's very good,2019/4/14,ENTERTAINMENT,1615826,Everyone,Its very good,13,4,4,4,4
Roblox,Ghoust collard,8-May-19,5,i love the game,2019/5/9,FAMILY,2053087,Everyone 10+,i love the game,15,4,4,4,4
Netflix,Travis Copeland,25-Mar-19,4,"It's a great service, would have given 5 stars if not for all the price increases and lies that original members were grandfathered into their $7.99/month price. I just adjusted my account after seeing it had climbed to $12.99/month, but $8.99 is now the best I get. Of course I'll pay it, it's just a shame they lied to us all. They're just like every other greedy corporation in this country apparently, but they do offer a good streaming service!",2019/4/1,ENTERTAINMENT,1496615,Teen,Its a great service would have given 5 stars if not for all the price increases and lies that original members were grandfathered into their 799month price I just adjusted my account after seeing it had climbed to 1299month but 899 is now the best I get Of course Ill pay it its just a shame they lied to us all Theyre just like every other greedy corporation in this country apparently but they do offer a good streaming service,429,4,1,4,4
,Claire Delahorne,12-Apr-19,3,"this app is great -when it works. It's always having issues syncing with my band. I'm constantly having to repair and reboot to make it sync, and then 2 days later it won't work again.",2019/5/1,HEALTH_AND_FITNESS,2665176,,this app is great when it works Its always having issues syncing with my band Im constantly having to repair and reboot to make it sync and then 2 days later it wont work again,176,1,1,1,1
Amazon Music,Robert Andrews,3-Mar-19,3,"Amazon prime does not carry all songs, many songs are not available, unless you pay more.",2019/3/9,MUSIC_AND_AUDIO,1055851,Teen,Amazon prime does not carry all songs many songs are not available unless you pay more,86,3,1,3,3
Pandora Music,A Google User,16-Mar-19,5,Love my Texas Red Dirt music on Pandora!!!,2019/4/1,MUSIC_AND_AUDIO,1134516,Teen,Love my Texas Red Dirt music on Pandora,39,4,4,4,4
Tubi - Free Movies & TV Shows,Jasseline Salazar,6-May-19,5,I think that it's better to not pay for watching movies on apps,2019/5/9,ENTERTAINMENT,1725027,Teen,I think that its better to not pay for watching movies on apps,62,2,2,3,2
Bowmasters,FAZE KING,4-May-19,4,"This game is great. I haven't unlocked the other modes yet but so far it's super fun. The only problem is you get an AD for every single round. Also the chests are rigged. It doesn't let you have the good items, instead it just makes it look like your about to get something good but it always gives you coins, REALLY ANNOYING!!!",2019/5/9,GAME_ACTION,1006818,Teen,This game is great I havent unlocked the other modes yet but so far its super fun The only problem is you get an AD for every single round Also the chests are rigged It doesnt let you have the good items instead it just makes it look like your about to get something good but it always gives you coins REALLY ANNOYING,317,3,1,3,3
Fitbit,Heather Denman,3-Mar-19,5,"I love doing challenges with my friends and family, they help motivate me to move more. Also, I like the destination challenges, you get to see some spectacular sights along with ""racing"" your group to the end.",2019/3/16,HEALTH_AND_FITNESS,2363993,Everyone,I love doing challenges with my friends and family they help motivate me to move more Also I like the destination challenges you get to see some spectacular sights along with racing your group to the end,203,3,3,4,3
WildCraft: Animal Sim Online 3D,Septicgalaxy sam,15-Apr-19,5,"loves the view but needs more detail to ""define"" male from female. it would help alot for Roleplays.",2019/4/21,FAMILY,1962348,Everyone 10+,loves the view but needs more detail to define male from female it would help alot for Roleplays,96,2,2,2,2
Duolingo: Learn Languages Free,Barbara Gooding,27-Mar-19,4,I know some Spanish. This program helped tremendously and it was all fun.,2019/4/1,EDUCATION,92735,Everyone,I know some Spanish This program helped tremendously and it was all fun,71,3,3,4,3
Duolingo: Learn Languages Free,SAM RIM,4-Mar-19,5,perfect for learning new language,2019/3/8,EDUCATION,7006,Everyone,perfect for learning new language,33,4,4,4,4
Duolingo: Learn Languages Free,A Google User,1-Apr-19,5,"Fun and easy. Moves along at a steady pace according to the student. Honestly, give it a go and see what you can learn!",2019/4/1,EDUCATION,121031,Everyone,Fun and easy Moves along at a steady pace according to the student Honestly give it a go and see what you can learn,115,4,3,3,3
Duolingo: Learn Languages Free,dianne sposito,1-May-19,5,it is fun and helps a lot,2019/5/9,EDUCATION,319288,Everyone,it is fun and helps a lot,25,3,4,4,4
Duolingo: Learn Languages Free,A Google User,31-Mar-19,5,bite size great,2019/4/1,EDUCATION,107207,Everyone,bite size great,15,4,4,4,4
,Richard Johnson,30-Apr-19,5,"I love Credit Karma, with out this app I would be lost. it has helped me understand my credit score and I'm on my way to fix it.",2019/5/1,FINANCE,640495,,I love Credit Karma with out this app I would be lost it has helped me understand my credit score and Im on my way to fix it,124,4,3,4,4
Drum Pad Machine - Make Beats,,15-Mar-19,4,i love this fun and unique games,2019/3/24,MUSIC_AND_AUDIO,1122902,Everyone,i love this fun and unique games,32,4,4,4,4
Remind: School Communication,Hoopee Hillbillies,23-Jan-19,5,"Perfect app for school communication! My parents and students keep in close contact with me this way and stay informed about important information. Has made school to home communication a breeze, and what's even better is that you can email yourself contact history to keep for documentation! The Remind app makes teacher life so much easier and saves so much time!",2019/3/8,EDUCATION,38257,Everyone,Perfect app for school communication My parents and students keep in close contact with me this way and stay informed about important information Has made school to home communication a breeze and whats even better is that you can email yourself contact history to keep for documentation The Remind app makes teacher life so much easier and saves so much time,359,4,3,4,4
